51,,FAST School of Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Classes' Schedule for Semester: Fall-2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,KK-III,FL3001 Financial Management Lab,,,,,,,BSBA05A,,FL3001 Financial Management Lab,,,,,,,BSBA05A,,LG3003 Basic Econometrics Lab,,,,,,,FT05D,,LG3003 Basic Econometrics Lab,,,,,,,FT05D,,FL3001 Financial Management Lab,,,,,,,AF05B,,FL3001 Financial Management Lab,,,,,,,AF05B
,,Khyber I,,,,,,,,,,,,,,,,,,,CL2003 Data Structures and Business Application Lab,,,,,,,BSBA05C,,CL2003 Data Structures and Business Application Lab,,,,,,,BSBA05C,,CL3003 Management Information System Lab,,,,,,,AF05A,,CL3003 Management Information System Lab,,,,,,,AF05A
,,Khyber II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Khyber III,,,,,,,,,,,,,,,,,,,CS,,,,,,,,,,,,,,,,,,LG3003 Basic Econometrics Lab,,,,,,,FT05A,,LG3003 Basic Econometrics Lab,,,,,,,FT05A
,,Khyber IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mehran-I,LG3003 Basic Econometrics Lab,,,,,,,BSBA05B,,LG3003 Basic Econometrics Lab,,,,,,,BSBA05B,,CL2012 Introduction to Object Oriented Programming-Lab,,,,,,,FT03A,,CL2012 Introduction to Object Oriented Programming-Lab,,,,,,,FT03A,,CL1001 IT in Business-Lab,,,,,,,FT01A,,CL1001 IT in Business-Lab,,,,,,,FT01A
,,Mehran-II,CS,,,,,,,,,,,,,,,,,,CS,,,,,,,,,,,,,,,,,,CS,,,,,,,,,,,,,,,,
,,Cal-I lab,SL1016 English - I- Lab,,,,,,,BBA01C1,,SL1016 English - I- Lab,,,,,,,BBA01C1,,,,,,,,,,,,,,,,,,,,SL1016 English - I- Lab,,,,,,,AF01A1,,SL1016 English - I- Lab,,,,,,,AF01A1
,,Cal-II lab,SL1016 English - I- Lab,,,,,,,BBA01C2,,SL1016 English - I- Lab,,,,,,,BBA01C2,,,,,,,,,,,,,,,,,,,,SL1016 English - I- Lab,,,,,,,AF01A2,,SL1016 English - I- Lab,,,,,,,AF01A2
,,Room,08:30-09:50,,,,,,,,,10:00-11:20,,,,,,,,,11:30-12:50,,,,,,,,,01:00-02:20,,,,,,,,,02:25-03:45,,,,,,,,,03:50-05:10,,,,,,,
